feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Genus.Limnobacter	responder	Resp	0.0152114883924045	0.0101784165008923	12	6	0.165918332835772	0.75626072125502
Genus.bacteriap25	responder	Resp	-0.0176459366226407	0.0133583815019299	12	10	0.215942268143989	0.75626072125502
Genus.Glutamicibacter	responder	Resp	-0.0175655609031367	0.0135608323220823	12	6	0.224314620711235	0.75626072125502
Genus.Rhodomicrobium	responder	Resp	-0.0456264834275249	0.0149738671503777	12	4	0.0123130299282941	0.75626072125502
Genus.S5.A14a	responder	Resp	0.00897368859638102	0.00445175865183388	12	6	0.0714841061027601	0.75626072125502
Genus.Acidothermus	responder	Resp	-0.0357421577891098	0.0171133414036494	12	8	0.0632824048619176	0.75626072125502
Genus.Pseudolabrys	responder	Resp	-0.0254132453239263	0.0141239466964618	12	7	0.102168336722206	0.75626072125502
Genus.Muribaculum	responder	Resp	-0.012137309487654	0.00897979301031303	12	5	0.206276176144225	0.75626072125502
Genus.Rhodobacter	responder	Resp	-0.011460102546477	0.00875860865973594	12	8	0.219997898347065	0.75626072125502
Genus.Succiniclasticum	responder	Resp	-0.0150125274211714	0.00678418078466335	12	4	0.0513104259665306	0.75626072125502
Family.Streptomycetaceae	responder	Resp	0.00868456241146142	0.00617153150417938	12	4	0.189682132921543	0.75626072125502
Genus.Rubrobacter	responder	Resp	-0.0293796813242948	0.0178362111900194	12	4	0.130538615760575	0.75626072125502
Genus.SC.I.84	responder	Resp	-0.0197836689686152	0.00680809812964966	12	5	0.0156743354351577	0.75626072125502
Genus.uncultured	responder	Resp	-0.00960859802574625	0.00607692779861683	12	4	0.144922669319256	0.75626072125502
Genus.Cloacibacterium	responder	Resp	-0.0127868025921405	0.00558579578726317	12	10	0.0450777420795722	0.75626072125502
Genus.uncultured	responder	Resp	-0.0440004429352263	0.012170701659783	12	4	0.00472655451967069	0.75626072125502
Genus.uncultured	responder	Resp	0.00786729630952824	0.00567764410957354	12	4	0.1959732987259	0.75626072125502
Genus.Murdochiella	responder	Resp	0.00666604223169567	0.00416603023075804	12	5	0.140660755723308	0.75626072125502
Genus.Blastococcus	responder	Resp	-0.0126151715635573	0.00751953988710357	12	8	0.124344455945938	0.75626072125502
Family.Planococcaceae	responder	Resp	0.0107321985218719	0.00773801632075919	12	4	0.195593804600656	0.75626072125502
Genus.Chryseomicrobium	responder	Resp	0.0103568669897328	0.00630108391357127	12	5	0.13127378094191	0.75626072125502
Genus..Ruminococcus._gauvreauii_group	responder	Resp	0.0115114932084469	0.00586222199648435	12	6	0.0779592839817762	0.75626072125502
Genus.Domibacillus	responder	Resp	-0.0262906012441458	0.00861995090063974	12	5	0.0122523163901003	0.75626072125502
Genus.Acidibacter	responder	Resp	-0.0303245645079582	0.0125543998055549	12	4	0.0363430193874931	0.75626072125502
Genus.Ramlibacter	responder	Resp	0.00744481576799177	0.00562094751964235	12	4	0.214815857875172	0.75626072125502
Genus.IMCC26256	responder	Resp	-0.0140123786472889	0.00895507391357846	12	4	0.148710405749822	0.75626072125502
Family.Yersiniaceae	responder	Resp	-0.010247823471675	0.00608204182447563	12	4	0.122903812477763	0.75626072125502
Genus.Solirubrobacter	responder	Resp	-0.0136232653106692	0.00714027645698966	12	5	0.0854942040687619	0.75626072125502
Order.Micrococcales	responder	Resp	0.0100244762466769	0.00738160117634326	12	4	0.204301588329472	0.75626072125502
Family.Gemmatimonadaceae	responder	Resp	-0.00825618256988978	0.00608826167531146	12	5	0.204901560326713	0.75626072125502
Genus.Colidextribacter	responder	Resp	0.0126316085485125	0.00615526786340364	12	6	0.0672643725885992	0.75626072125502
Family.Methyloligellaceae	responder	Resp	-0.0172751107787207	0.00718157604101882	12	4	0.0369680813058584	0.75626072125502
Genus.Anaeromyxobacter	responder	Resp	0.0055590814823592	0.0039413121157231	12	4	0.188742777997495	0.75626072125502
Genus.Devosia	responder	Resp	-0.010429750477933	0.00508287824225097	12	4	0.0672896469534263	0.75626072125502
Family.Neisseriaceae	responder	Resp	-0.0134935803937439	0.00804050881810392	12	5	0.124235524405297	0.75626072125502
Genus.Cohnella	responder	Resp	-0.0218569778137576	0.0098130470961774	12	5	0.0500678884464197	0.75626072125502
Genus.uncultured	responder	Resp	-0.00690276595614323	0.00516699625361334	12	4	0.211176583200915	0.75626072125502
Genus.Candidatus_Competibacter	responder	Resp	-0.00854832439631927	0.00589054008298937	12	6	0.177362129480562	0.75626072125502
Genus.Dermabacter	responder	Resp	0.00614601082403522	0.00473121361913487	12	4	0.223084254760232	0.75626072125502
Genus.Aerococcus	responder	Resp	0.00754995042216773	0.00459774209769372	12	5	0.131600973749116	0.75626072125502
Genus.Geobacter	responder	Resp	-0.0117004245300766	0.00609739416635205	12	5	0.0839583823911018	0.75626072125502
Genus.uncultured	responder	Resp	-0.0111897507985884	0.00694202013571154	12	4	0.138062933647219	0.75626072125502
Genus.uncultured	responder	Resp	0.00518914295056419	0.00393763150672999	12	4	0.216949941993697	0.75626072125502
Genus.Gracilibacter	responder	Resp	0.00646490228683832	0.00480624384835791	12	4	0.208300686566298	0.75626072125502
Genus.Atopostipes	responder	Resp	0.00646646694076261	0.00464786594108833	12	4	0.194316319052848	0.75626072125502
Genus.Rokubacteriales	responder	Resp	-0.00892526720843314	0.00532761820559156	12	4	0.124816616127612	0.75626072125502
Class.Gammaproteobacteria	responder	Resp	-0.0129070162192207	0.00961217442019354	12	4	0.209027268602656	0.75626072125502
Genus.Lineage_IIa	responder	Resp	-0.00807790771319019	0.00507870258171719	12	4	0.142796079474006	0.75626072125502
Genus.UCG.009	responder	Resp	0.00520915219489596	0.00382015831416236	12	4	0.202601814175679	0.75626072125502
Genus.Dehalobacter	responder	Resp	0.00600866444380433	0.00376921793939839	12	5	0.141988746178355	0.75626072125502
Genus..Eubacterium._siraeum_group	responder	Resp	0.00457631449242857	0.00329868036058964	12	4	0.19548373225916	0.75626072125502
Genus.Blastomonas	responder	Resp	0.00422198002186044	0.00308437895078164	12	4	0.201013699159914	0.75626072125502
Family.Erysipelotrichaceae	responder	Resp	0.00472279493935375	0.00348409077447424	12	4	0.205070922398768	0.75626072125502
Genus.UCG.001	responder	Resp	-0.00982915247582061	0.00432191789611369	12	4	0.046234875290665	0.75626072125502
Genus.JG30.KF.CM45	responder	Resp	-0.00852679499776403	0.00395664972648503	12	4	0.0565798845823961	0.75626072125502
Genus.Peptococcus	responder	Resp	0.00389109431107939	0.00285077787711314	12	4	0.202197676636134	0.75626072125502
Genus.R7C24	responder	Resp	0.00433641342855057	0.00318025503966959	12	4	0.202618029890624	0.75626072125502
Genus.Solobacterium	responder	Resp	0.00477258992158581	0.00371713355421226	12	4	0.22811180275373	0.761807341271889
Genus.Amylibacter	responder	Resp	-0.0081914309591241	0.00642145477783083	12	7	0.230919437300504	0.763976456115685
Family.Erwiniaceae	responder	Resp	0.0624900855983313	0.0514136269160015	12	12	0.252114589991408	0.764688912501695
Genus.Faecalibaculum	responder	Resp	0.0143362052099655	0.0118007180912425	12	11	0.252326019308523	0.764688912501695
Family.Micrococcaceae	responder	Resp	0.0143704315602232	0.0115095447613227	12	11	0.240263063775412	0.764688912501695
Genus.Lachnoclostridium	responder	Resp	0.0116883215808257	0.00967343789613736	12	10	0.254732568616939	0.764688912501695
Genus.Lachnospiraceae_NK4A136_group	responder	Resp	-0.0214877386943375	0.0175143984162413	12	12	0.24797575736294	0.764688912501695
Genus.Porphyrobacter	responder	Resp	0.00866350319796475	0.00690673208792446	12	8	0.238238967987757	0.764688912501695
Genus.Peptoclostridium	responder	Resp	0.00889831428380651	0.0070265340162433	12	7	0.234077470460512	0.764688912501695
Genus.Roseicyclus	responder	Resp	0.00921380665327419	0.00765089661321909	12	4	0.256211669342533	0.764688912501695
Genus.Butyricicoccus	responder	Resp	0.0106332489837222	0.00877053152011793	12	7	0.253230689133545	0.764688912501695
Genus.Desulfatiglans	responder	Resp	0.0100605349234678	0.00841052780033943	12	4	0.259216580509049	0.764688912501695
Genus.uncultured	responder	Resp	0.00661012369706223	0.00536068456085582	12	4	0.24574775415817	0.764688912501695
Genus.Capnocytophaga	responder	Resp	0.00434217983156592	0.0036252384767027	12	4	0.258627692703836	0.764688912501695
Genus.Phaselicystis	responder	Resp	0.0037996132206692	0.00302013027151651	12	4	0.23693908614329	0.764688912501695
Genus.Puia	responder	Resp	0.00766347283699631	0.0064384635625772	12	4	0.261431805202433	0.764850074724474
Genus.IS.44	responder	Resp	0.00778847707146741	0.00663081061049271	12	4	0.26737106137322	0.769772763987162
Genus.Subgroup_2	responder	Resp	-0.0116256988655521	0.00989970994407071	12	4	0.267463417995539	0.769772763987162
Genus.uncultured	responder	Resp	0.00801100136453177	0.00688415481590909	12	4	0.271564593215933	0.775273112890647
Genus.Acinetobacter	responder	Resp	-0.0558662487225327	0.048459758186746	12	12	0.275789231891724	0.781035104717363
Genus.Phreatobacter	responder	Resp	-0.0184262960929007	0.016077021101191	12	9	0.278428611109476	0.782251812164719
Genus.Micrococcus	responder	Resp	-0.0116186345401696	0.0102752577738022	12	10	0.284554548496632	0.793167796596912
Genus.uncultured	responder	Resp	-0.00687336022091549	0.00611749363320618	12	4	0.28744917262923	0.794976618052713
Genus.Parabacteroides	responder	Resp	0.00929667046466645	0.00833778737415203	12	11	0.290927131282306	0.798358174216561
Genus.Serratia	responder	Resp	0.217175656087271	0.206259318900602	12	12	0.317152084586983	0.807711064343827
Genus.Porphyromonas	responder	Resp	0.03252025989076	0.0308208026419839	12	9	0.316186558181684	0.807711064343827
Family.Aerococcaceae	responder	Resp	0.026825680351831	0.0248265394858659	12	8	0.305278538670981	0.807711064343827
Genus.Mobiluncus	responder	Resp	0.00886445142789418	0.008312443199234	12	4	0.311308716290281	0.807711064343827
Genus.Marivita	responder	Resp	0.0182079336056681	0.0165774320461546	12	8	0.29778974369093	0.807711064343827
Genus.Caulobacter	responder	Resp	-0.00746300466035615	0.00704569620131468	12	5	0.314409757834843	0.807711064343827
Genus.Gaiella	responder	Resp	-0.0166012690375267	0.0153665623113183	12	11	0.305352368237177	0.807711064343827
Genus.RCP2.54	responder	Resp	0.00772204970353791	0.00717951769400489	12	4	0.30738601020453	0.807711064343827
Genus.Actinospica	responder	Resp	0.00858247622302647	0.00813061708675278	12	4	0.315997140750607	0.807711064343827
Genus.Methyloligellaceae	responder	Resp	-0.00685105208210409	0.00648032870405024	12	4	0.315287169418635	0.807711064343827
Genus.Pseudomonas	responder	Resp	-0.074430841446696	0.071706364571987	12	12	0.323719677736114	0.818548327989888
Genus.Propionimicrobium	responder	Resp	0.07089591914886	0.0689345593152368	12	8	0.327970530642364	0.821288524308549
Genus.Muribaculaceae	responder	Resp	-0.0265615612021538	0.0260624462794842	12	12	0.332154313254698	0.821288524308549
Genus.Mycoplasma	responder	Resp	-0.0120380652413485	0.0118147037672239	12	11	0.332265205452867	0.821288524308549
Genus.Nitrosospira	responder	Resp	-0.0065997113571718	0.00650287621071455	12	4	0.334083467515342	0.821288524308549
Genus.Uruburuella	responder	Resp	-0.00929222017265059	0.00923034447399823	12	6	0.337815012400507	0.824734581998478
Family.Enterobacteriaceae	responder	Resp	-0.0253912060625728	0.0272132067493956	12	12	0.372775962206586	0.826025971717768
Genus.Faecalibacterium	responder	Resp	0.0129822872354312	0.0138465630095019	12	12	0.370550947506702	0.826025971717768
Genus.Agathobacter	responder	Resp	-0.00821495158515536	0.00827332883456921	12	12	0.344155510526831	0.826025971717768
Genus.Salipaludibacillus	responder	Resp	-0.0168662293635437	0.0175536995246581	12	12	0.359290929971314	0.826025971717768
Kingdom.Unassigned	responder	Resp	-0.0156875545632843	0.0168808619048921	12	5	0.374616804149128	0.826025971717768
Genus.Succinivibrio	responder	Resp	0.00823922822357562	0.00874507941005496	12	7	0.368316347687592	0.826025971717768
Genus.Bilophila	responder	Resp	0.00616375486307903	0.00655405648276216	12	10	0.369149189518616	0.826025971717768
Family.Oscillospiraceae	responder	Resp	0.00878380157617007	0.0094496334209763	12	8	0.374503903712457	0.826025971717768
Genus.Desulfuromonadaceae	responder	Resp	0.00883786870955173	0.00936234586533321	12	6	0.367427826227824	0.826025971717768
Genus.Lachnospiraceae_ND3007_group	responder	Resp	0.00465259965206783	0.00501811581648692	12	10	0.375678478662601	0.826025971717768
Genus.Christensenellaceae_R.7_group	responder	Resp	-0.0082793851495438	0.00873581049872579	12	6	0.365595420536753	0.826025971717768
Genus.Acetobacter	responder	Resp	-0.00948911547081144	0.00962247160564354	12	4	0.347322505283228	0.826025971717768
Genus.Atopobium	responder	Resp	-0.00443039430974905	0.00462726962576681	12	6	0.36091340251586	0.826025971717768
Genus.Alcanivorax	responder	Resp	-0.00678170817664197	0.00707645891163008	12	8	0.360483895644886	0.826025971717768
Genus.RF39	responder	Resp	0.00773737255219136	0.00794882691131029	12	4	0.353312555170244	0.826025971717768
Genus.uncultured	responder	Resp	-0.00965650418675299	0.010324406654573	12	4	0.371665287162784	0.826025971717768
Genus.Cupriavidus	responder	Resp	-0.0192332656127109	0.0210670770028059	12	12	0.382749931236726	0.826179729620739
Genus.Coprococcus	responder	Resp	0.00468561031886044	0.00510482884964193	12	7	0.380288243925676	0.826179729620739
Genus.Kapabacteriales	responder	Resp	-0.00283355357036545	0.00308945946277726	12	4	0.380642465566539	0.826179729620739
Genus.Turicibacter	responder	Resp	-0.0207903965588985	0.0229573370959626	12	10	0.386441908553127	0.829093549259437
Family.Pasteurellaceae	responder	Resp	-0.00752530295049325	0.00848557968122757	12	7	0.39599531056487	0.834418690118833
Genus.uncultured	responder	Resp	-0.00459456165227995	0.00518034352344582	12	4	0.39595019668135	0.834418690118833
Genus.uncultured	responder	Resp	-0.00924473891430913	0.0103930274170261	12	4	0.394622039932528	0.834418690118833
Genus.YC.ZSS.LKJ147	responder	Resp	-0.00427205772559393	0.00489517103064005	12	5	0.403290518847545	0.844762388591899
Genus.Vogesella	responder	Resp	0.0147687437745453	0.0170431058919635	12	9	0.406498834678222	0.846474043977003
Genus.TRA3.20	responder	Resp	-0.00808847391488072	0.00949423012655279	12	4	0.414186633847438	0.852453885941821
Family.Rhodocyclaceae	responder	Resp	-0.00593860166826395	0.00694722408639899	12	4	0.412663643795353	0.852453885941821
Genus.Sphingobacterium	responder	Resp	0.0053895931941119	0.00637609736352465	12	6	0.417719582784172	0.854755678067033
Genus.Corynebacterium	responder	Resp	0.03264346227443	0.0396907208074091	12	12	0.429997823029561	0.855695226387943
Genus.Anaerococcus	responder	Resp	0.0464348837950687	0.0579170862367566	12	11	0.441334268268925	0.855695226387943
Genus.Akkermansia	responder	Resp	-0.0182926468535789	0.0226396334762288	12	12	0.437893366520233	0.855695226387943
Genus.Megasphaera	responder	Resp	-0.00851375513502893	0.0107605267445269	12	12	0.447185358423077	0.855695226387943
Genus.Granulicatella	responder	Resp	0.0149743943167865	0.01848350260972	12	8	0.436708975232881	0.855695226387943
Family.Comamonadaceae	responder	Resp	-0.00949909292251357	0.0115622690934802	12	12	0.430479118487049	0.855695226387943
Genus.Pantoea	responder	Resp	-0.013613606375823	0.0171381416567554	12	6	0.445436062260888	0.855695226387943
Genus.Morganella	responder	Resp	0.00657068763897873	0.00818617717921159	12	9	0.440832370883735	0.855695226387943
Genus.Prevotellaceae_Ga6A1_group	responder	Resp	0.0075586166336825	0.00947555710781234	12	8	0.443576168086467	0.855695226387943
Family.Sporichthyaceae	responder	Resp	0.00855862320220205	0.010705682921724	12	6	0.442606586048363	0.855695226387943
Genus.Alicyclobacillus	responder	Resp	0.00541893808244998	0.00665886437408451	12	7	0.434712945959244	0.855695226387943
Genus.Cytophaga	responder	Resp	-0.0039081138878285	0.00478828707365399	12	5	0.433407698693562	0.855695226387943
Genus.Enterococcus	responder	Resp	0.154534914331188	0.208666496124232	12	12	0.475975470410901	0.861025186136688
Genus.Megamonas	responder	Resp	0.00927217212292884	0.0121281712441411	12	11	0.4622194299786	0.861025186136688
Genus.Prevotella	responder	Resp	-0.014015768400719	0.0182962274126808	12	12	0.461347847822693	0.861025186136688
Genus.Candidatus_Udaeobacter	responder	Resp	-0.00690382406996371	0.00914317309821075	12	11	0.467612178611671	0.861025186136688
Genus.Ezakiella	responder	Resp	0.0044590837534407	0.00583587865235013	12	7	0.462466770105024	0.861025186136688
Genus.Tyzzerella	responder	Resp	-0.00568212724579402	0.0076902294712369	12	8	0.476966541185215	0.861025186136688
Genus.Allobaculum	responder	Resp	0.00609289209269702	0.00808230015053507	12	8	0.468314368453518	0.861025186136688
Genus.uncultured	responder	Resp	-0.0119993720314115	0.0162847993040979	12	4	0.478147482720485	0.861025186136688
Genus.Aurantimicrobium	responder	Resp	0.00592958175097726	0.00764975028833004	12	5	0.456198649848975	0.861025186136688
Genus.uncultured	responder	Resp	0.00514306977060584	0.00681245856960461	12	4	0.467686214046829	0.861025186136688
Genus.uncultured	responder	Resp	0.00413569965352515	0.00561279497343358	12	4	0.478153696876935	0.861025186136688
Genus.Longispora	responder	Resp	-0.00345117745743391	0.0046947818591501	12	7	0.479158083810529	0.861025186136688
Genus.Snodgrassella	responder	Resp	0.00501285860267567	0.00686619135526546	12	6	0.482094774015905	0.861927020210254
Genus.Prevotellaceae_UCG.003	responder	Resp	-0.00423787480066529	0.00589733840289771	12	5	0.488832799128339	0.869581964278553
Genus.Clostridium_sensu_stricto_1	responder	Resp	-0.0251861529123815	0.0352648558656309	12	12	0.491437849677791	0.869844993929691
Genus.Abiotrophia	responder	Resp	0.0141480944362829	0.0199722636054587	12	6	0.49488598546983	0.871590243066267
Genus.Peptoniphilus	responder	Resp	0.0352005689017756	0.0507864401456222	12	11	0.504019716520709	0.871763082620969
Genus.Ileibacterium	responder	Resp	-0.0060016617196832	0.0086759942641366	12	10	0.504834553495194	0.871763082620969
Genus.Erysipelotrichaceae_UCG.003	responder	Resp	0.00530036172651456	0.00764062434541317	12	11	0.503660070282351	0.871763082620969
Genus.Brevibacterium	responder	Resp	-0.00342670712632981	0.00495045917128864	12	4	0.504566835769343	0.871763082620969
Genus.Massilia	responder	Resp	-0.0104582478454834	0.0153714518751903	12	11	0.511715278887387	0.879355382165705
Genus.Bacteroides	responder	Resp	-0.0159743921925287	0.0242474180904421	12	12	0.524897517713862	0.880720512707011
Genus.Lautropia	responder	Resp	0.0179016320365886	0.0275126143676315	12	9	0.529925054255913	0.880720512707011
Genus.Burkholderia.Caballeronia.Paraburkholderia	responder	Resp	0.0119363332456379	0.0182921632498747	12	9	0.528768461371583	0.880720512707011
Genus.Lachnospira	responder	Resp	-0.00638313608175575	0.0097940026533567	12	9	0.529262849930554	0.880720512707011
Genus.Caldibacillus	responder	Resp	0.00395330052212611	0.00594716914627232	12	10	0.521252773044693	0.880720512707011
Genus..Eubacterium._nodatum_group	responder	Resp	-0.00640040544408586	0.00958175868377754	12	4	0.519266271459808	0.880720512707011
Genus.uncultured	responder	Resp	-0.00257208442828651	0.00393678033866053	12	4	0.528267980886851	0.880720512707011
Genus.Streptococcus	responder	Resp	0.038953324348009	0.063778217279875	12	12	0.55498407365598	0.882926736152815
Genus.Pseudoalteromonas	responder	Resp	0.00733837485419501	0.0120695375042462	12	12	0.556737988723977	0.882926736152815
Genus.Haemophilus	responder	Resp	-0.00926247212858055	0.0150385817829475	12	11	0.551711820001379	0.882926736152815
Genus..Ruminococcus._torques_group	responder	Resp	0.00735324110308945	0.0120527343761365	12	11	0.555412459571061	0.882926736152815
Genus.Flavonifractor	responder	Resp	0.00967310121497422	0.0155073932620109	12	6	0.546740794377318	0.882926736152815
Genus.Subdoligranulum	responder	Resp	0.00604585161416127	0.00959039662376555	12	10	0.542565370820126	0.882926736152815
Genus.Thiobacillus	responder	Resp	0.00819724856896349	0.0136381972271204	12	5	0.561182247554755	0.882926736152815
Genus.Geobacillus	responder	Resp	-0.00568935791662375	0.00943180639059299	12	6	0.55980093179098	0.882926736152815
Genus.Streptomyces	responder	Resp	-0.00946178019089975	0.0147380811958086	12	9	0.53531510399723	0.882926736152815
Genus.Methylophilus	responder	Resp	0.00605827587068159	0.00950826378948242	12	8	0.538334071342124	0.882926736152815
Genus.Acetomicrobium	responder	Resp	-0.00320072400379942	0.00520463043107344	12	7	0.552306611811426	0.882926736152815
Genus.Erysipelothrix	responder	Resp	0.00508059814439064	0.00831061230486596	12	4	0.554617411093465	0.882926736152815
Genus.Neisseria	responder	Resp	0.0127931383923229	0.0217640821833507	12	8	0.569695135727274	0.890104854625821
Genus.uncultured	responder	Resp	0.00431138807979198	0.00735555644380605	12	4	0.570773451977574	0.890104854625821
Genus.Paenibacillus	responder	Resp	-0.00422397481232226	0.00742373612309673	12	11	0.581921120367138	0.902315297245401
Genus.Jeotgalicoccus	responder	Resp	-0.00349947835917061	0.00617999372946381	12	5	0.58370113861355	0.902315297245401
Genus.Mycobacterium	responder	Resp	0.0122020162507654	0.0219736250807794	12	10	0.590892429123943	0.908117196002511
Genus.Oscillibacter	responder	Resp	-0.00375397869998721	0.00679164861737283	12	6	0.592584949933842	0.908117196002511
Genus.Alkanindiges	responder	Resp	-0.0145128753605053	0.0332903557570503	12	12	0.672134833047715	0.91560353873638
Genus.Fusicatenibacter	responder	Resp	-0.00450082972093391	0.00930640285818608	12	11	0.63906560912919	0.91560353873638
Genus.Brevundimonas	responder	Resp	-0.00820857979346347	0.0193200532565357	12	12	0.679925753485453	0.91560353873638
Genus.Leuconostoc	responder	Resp	-0.00544285664011353	0.0122597516845878	12	12	0.666522982695266	0.91560353873638
Genus.Dubosiella	responder	Resp	-0.00642509733728483	0.0133130698674468	12	12	0.639758934199838	0.91560353873638
Genus.Kurthia	responder	Resp	-0.00439986987682555	0.00984731172962594	12	10	0.664533702644081	0.91560353873638
Genus.Sandaracinobacter	responder	Resp	0.00558793269456995	0.0140078434898547	12	8	0.698341682087069	0.91560353873638
Genus.Alteromonas	responder	Resp	0.00713081487528506	0.0148855914823462	12	11	0.642211954320611	0.91560353873638
Genus.Rothia	responder	Resp	-0.0056119087213622	0.0123890784320344	12	10	0.660238046678711	0.91560353873638
Family.Lachnospiraceae	responder	Resp	0.00584740345557087	0.012980711790279	12	11	0.661981535886098	0.91560353873638
