feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Genus.Porphyromonas	treatment.group	B	0.00558283602827744	0.00154099835958828	10	3	0.00675444525750247	0.0253291697156343
Family.Comamonadaceae	treatment.group	B	-0.0268108102266909	0.00750446428038227	10	10	0.00726560267644538	0.0266899690155136
Genus.Sphingobacterium	treatment.group	B	-0.00521257108094376	0.00149763721599558	10	5	0.00831315986633728	0.0299273755188142
Genus.Chryseobacterium	treatment.group	B	-0.00768259680922645	0.00225920204390679	10	5	0.00935244762067678	0.0330086386612122
Genus.Fluviicola	treatment.group	B	-0.00605701608351517	0.00181132659874072	10	5	0.0101710307979085	0.0346321039894796
Genus.Proteocatella	treatment.group	B	-0.0041030848588083	0.00122764691857719	10	5	0.0101972306191245	0.0346321039894796
Class.BD1.5	treatment.group	B	-0.00767687297133115	0.00259092004959208	10	5	0.0180634799807801	0.0600348312953199
Genus.Megamonas	treatment.group	B	0.00578572316008357	0.00195933104786542	10	6	0.0183439762291255	0.0600348312953199
Genus.Clostridium	treatment.group	B	0.00937944754319646	0.00344076152909956	10	6	0.0260069986082788	0.0835939240980389
Genus.Roseburia	treatment.group	B	0.0145315139964942	0.00552067551394695	10	8	0.0300753497836689	0.0949747887905334
Genus.Marinobacter	treatment.group	B	-0.00705262428798043	0.00273396717660728	10	6	0.0326350809218269	0.101281285619463
Genus.Granulicatella	treatment.group	B	0.00915664671067142	0.00369626493047259	10	5	0.038274183079371	0.116768694140454
Genus.Rhodobacter	treatment.group	B	-0.006314226912318	0.00258325878412265	10	4	0.0402941430718717	0.120882429215615
Genus.Paludibacter	treatment.group	B	-0.00694335532544905	0.00288714212186297	10	5	0.0428462799142596	0.126431645648635
Order.YS2	treatment.group	B	0.0460956294589755	0.0195441424672401	10	9	0.0460631274001215	0.130087492687845
Genus.Cytophaga	treatment.group	B	-0.0101257839867163	0.00434286714780236	10	4	0.04804232228579	0.130087492687845
Genus.Bacteroides	treatment.group	B	0.0113842223749791	0.00479546289274142	10	7	0.0449678259921023	0.130087492687845
Genus.Cloacibacterium	treatment.group	B	-0.00646548099072049	0.00274566160676787	10	7	0.0463328668834994	0.130087492687845
Family.Christensenellaceae	treatment.group	B	0.00698093291633186	0.00298915199353276	10	5	0.0477557219094139	0.130087492687845
Genus.Shewanella	treatment.group	B	-0.00475918897741189	0.00204559556841529	10	4	0.0484214556115869	0.130087492687845
Order.RF39	treatment.group	B	0.0536512447280301	0.0238144487370866	10	10	0.0543220856523176	0.143793756138488
Genus.Megasphaera	treatment.group	B	0.00509421515092824	0.00230723510314402	10	5	0.058268768207252	0.152005482279788
Genus.Achromobacter	treatment.group	B	0.00280486524088651	0.00128353327135621	10	2	0.0603646073432566	0.155223276025517
Family.koll13	treatment.group	B	0.00245166129203867	0.00112727185734836	10	2	0.0613518001072965	0.155539774919907
Genus.Bulleidia	treatment.group	B	0.00472182572760474	0.00219358491907425	10	7	0.0635213394304213	0.158803348576053
Family.Lactobacillaceae	treatment.group	B	0.00375844695263601	0.0017571779374119	10	2	0.0648863691957364	0.15999378705798
Genus.Lachnoanaerobaculum	treatment.group	B	0.00254351549606016	0.00121047266942105	10	2	0.0688027420773399	0.167358021269205
Genus.Coprobacillus	treatment.group	B	0.00446311556023517	0.00214203898585701	10	2	0.0707201940026789	0.169728465606429
Genus.Solibacillus	treatment.group	B	0.00544904853429301	0.00264844129697573	10	9	0.0736505735232394	0.17443556887083
