feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Genus.Porphyromonas	treatment.group	B	0.00558283602827744	0.00154099835958828	10	3	0.00675444525750247	0.0253291697156343
Family.Comamonadaceae	treatment.group	B	-0.0268108102266909	0.00750446428038227	10	10	0.00726560267644538	0.0266899690155136
Genus.Sphingobacterium	treatment.group	B	-0.00521257108094376	0.00149763721599558	10	5	0.00831315986633728	0.0299273755188142
Genus.Chryseobacterium	treatment.group	B	-0.00768259680922645	0.00225920204390679	10	5	0.00935244762067678	0.0330086386612122
Genus.Fluviicola	treatment.group	B	-0.00605701608351517	0.00181132659874072	10	5	0.0101710307979085	0.0346321039894796
Genus.Proteocatella	treatment.group	B	-0.0041030848588083	0.00122764691857719	10	5	0.0101972306191245	0.0346321039894796
Class.BD1.5	treatment.group	B	-0.00767687297133115	0.00259092004959208	10	5	0.0180634799807801	0.0600348312953199
Genus.Megamonas	treatment.group	B	0.00578572316008357	0.00195933104786542	10	6	0.0183439762291255	0.0600348312953199
Genus.Clostridium	treatment.group	B	0.00937944754319646	0.00344076152909956	10	6	0.0260069986082788	0.0835939240980389
Genus.Roseburia	treatment.group	B	0.0145315139964942	0.00552067551394695	10	8	0.0300753497836689	0.0949747887905334
Genus.Marinobacter	treatment.group	B	-0.00705262428798043	0.00273396717660728	10	6	0.0326350809218269	0.101281285619463
Genus.Granulicatella	treatment.group	B	0.00915664671067142	0.00369626493047259	10	5	0.038274183079371	0.116768694140454
Genus.Rhodobacter	treatment.group	B	-0.006314226912318	0.00258325878412265	10	4	0.0402941430718717	0.120882429215615
Genus.Paludibacter	treatment.group	B	-0.00694335532544905	0.00288714212186297	10	5	0.0428462799142596	0.126431645648635
Order.YS2	treatment.group	B	0.0460956294589755	0.0195441424672401	10	9	0.0460631274001215	0.130087492687845
Genus.Cytophaga	treatment.group	B	-0.0101257839867163	0.00434286714780236	10	4	0.04804232228579	0.130087492687845
Genus.Bacteroides	treatment.group	B	0.0113842223749791	0.00479546289274142	10	7	0.0449678259921023	0.130087492687845
Genus.Cloacibacterium	treatment.group	B	-0.00646548099072049	0.00274566160676787	10	7	0.0463328668834994	0.130087492687845
Family.Christensenellaceae	treatment.group	B	0.00698093291633186	0.00298915199353276	10	5	0.0477557219094139	0.130087492687845
Genus.Shewanella	treatment.group	B	-0.00475918897741189	0.00204559556841529	10	4	0.0484214556115869	0.130087492687845
Order.RF39	treatment.group	B	0.0536512447280301	0.0238144487370866	10	10	0.0543220856523176	0.143793756138488
Genus.Megasphaera	treatment.group	B	0.00509421515092824	0.00230723510314402	10	5	0.058268768207252	0.152005482279788
Genus.Achromobacter	treatment.group	B	0.00280486524088651	0.00128353327135621	10	2	0.0603646073432566	0.155223276025517
Family.koll13	treatment.group	B	0.00245166129203867	0.00112727185734836	10	2	0.0613518001072965	0.155539774919907
Genus.Bulleidia	treatment.group	B	0.00472182572760474	0.00219358491907425	10	7	0.0635213394304213	0.158803348576053
Family.Lactobacillaceae	treatment.group	B	0.00375844695263601	0.0017571779374119	10	2	0.0648863691957364	0.15999378705798
Genus.Lachnoanaerobaculum	treatment.group	B	0.00254351549606016	0.00121047266942105	10	2	0.0688027420773399	0.167358021269205
Genus.Coprobacillus	treatment.group	B	0.00446311556023517	0.00214203898585701	10	2	0.0707201940026789	0.169728465606429
Genus.Solibacillus	treatment.group	B	0.00544904853429301	0.00264844129697573	10	9	0.0736505735232394	0.17443556887083
Genus.Elizabethkingia	treatment.group	B	-0.00399119731558243	0.00228129560559563	10	3	0.118317179175209	0.272802941114194
Order.Bacteroidales	treatment.group	B	-0.00367545639933586	0.0020979152517729	10	3	0.117881339537972	0.272802941114194
Genus.Aerococcus	treatment.group	B	-0.00271394173083212	0.00155819256433334	10	3	0.11973017971123	0.272802941114194
Genus.Veillonella	treatment.group	B	0.00520460602542899	0.00304415554803532	10	8	0.125692112389439	0.280970515250187
Genus.Pseudomonas	treatment.group	B	-0.00467172190084153	0.00277787617907763	10	7	0.131119573783421	0.280970515250187
Genus.Mycobacterium	treatment.group	B	0.00525962007824892	0.00309199400476515	10	2	0.127351328413459	0.280970515250187
Family.Neisseriaceae	treatment.group	B	-0.00275592586437566	0.00163432108219565	10	3	0.130226903447113	0.280970515250187
Genus.Alcaligenes	treatment.group	B	-0.00244922550082533	0.00145395473153707	10	3	0.130572746088747	0.280970515250187
Family.Sinobacteraceae	treatment.group	B	0.00942538807352094	0.00599950267227722	10	2	0.154818125177105	0.32785014743387
Genus.Dialister	treatment.group	B	0.00385881252047531	0.00257048324559008	10	9	0.17169897885028	0.359369955733144
Genus.Enterococcus	treatment.group	B	-0.025246722946343	0.0169639487429942	10	6	0.175003636287146	0.362076488869958
Family.Microthrixaceae	treatment.group	B	0.00805923067842827	0.0055514853870533	10	3	0.18463802799855	0.377668693633397
Genus..Prevotella.	treatment.group	B	0.00217864401844551	0.00158135678120965	10	3	0.205602511713077	0.415825304588246
Genus.Streptococcus	treatment.group	B	0.00828269433029128	0.00606880965654729	10	10	0.209463609364592	0.418927218729184
Genus.Wolbachia	treatment.group	B	-0.0297953368195011	0.0237737904732157	10	2	0.245489706174393	0.425477675470408
Genus.Staphylococcus	treatment.group	B	-0.010882100716784	0.00852272160289196	10	6	0.237473112138856	0.425477675470408
Genus.Rothia	treatment.group	B	0.00524642715902249	0.0040074268983035	10	9	0.226824438992436	0.425477675470408
Family.Pseudomonadaceae	treatment.group	B	-0.00682584474088241	0.00526710887211215	10	4	0.231133136782581	0.425477675470408
Order.Streptophyta	treatment.group	B	-0.00610256537828644	0.00475035180999768	10	4	0.234859821617077	0.425477675470408
Genus.Phascolarctobacterium	treatment.group	B	0.0022096870342848	0.00176663134626661	10	6	0.246351811831899	0.425477675470408
Family.mitochondria	treatment.group	B	-0.00254007985520346	0.00203503999538334	10	2	0.247260020788033	0.425477675470408
Genus.Pedobacter	treatment.group	B	-0.0028874264033417	0.00229893487258155	10	2	0.244559401629778	0.425477675470408
Genus.Atopobium	treatment.group	B	-0.00183907338362144	0.00145904438687711	10	2	0.24302198233294	0.425477675470408
Genus.Snodgrassella	treatment.group	B	-0.00203130995643635	0.00163094158491776	10	2	0.248195310691071	0.425477675470408
Genus.Devosia	treatment.group	B	-0.00236727283948602	0.00188959590978375	10	2	0.245659557958753	0.425477675470408
Genus.Bilophila	treatment.group	B	-0.0013631619504185	0.00108393938554682	10	2	0.24400409720557	0.425477675470408
Genus.Bdellovibrio	treatment.group	B	-0.00152979863348238	0.0012096605244996	10	2	0.241592463337528	0.425477675470408
Genus.Alkaliphilus	treatment.group	B	-0.00165901292124071	0.00131822553069384	10	2	0.24368830924191	0.425477675470408
Genus.Sphingopyxis	treatment.group	B	-0.00124045062483318	0.000981072571336729	10	2	0.241684119053785	0.425477675470408
Family.Pasteurellaceae	treatment.group	B	-0.0035165438189154	0.00287485958721223	10	9	0.256058079344702	0.426763465574503
Genus.Variovorax	treatment.group	B	-0.00280307048453848	0.00228057150200485	10	2	0.253954587944327	0.426763465574503
Genus.Lysinibacillus	treatment.group	B	-0.00284244513384092	0.00230224066520209	10	2	0.251995739869004	0.426763465574503
Genus.Jeotgalicoccus	treatment.group	B	0.00216025353061914	0.00179249695327238	10	3	0.262576194640648	0.433612064544189
Genus.Stenotrophomonas	treatment.group	B	-0.0197002258983939	0.01694736363631	10	10	0.278560064296176	0.455825559757379
Family.Peptostreptococcaceae	treatment.group	B	0.00505243435897569	0.00455466722719832	10	9	0.299535851231304	0.477136754173759
Genus.Nitrospira	treatment.group	B	0.00848933544804716	0.00765192285491918	10	8	0.299474543702222	0.477136754173759
Order.Acidimicrobiales	treatment.group	B	0.00619413550393387	0.00554376296444676	10	2	0.296288312353613	0.477136754173759
Genus.Brevibacterium	treatment.group	B	-0.00377904757661999	0.00344491756729731	10	2	0.304563972998607	0.480890483682012
Order.HOC36	treatment.group	B	0.0067547584274088	0.00635342750165237	10	4	0.318742026340917	0.482855141933929
Family.Gemellaceae	treatment.group	B	0.00298990241694627	0.00278554935749593	10	9	0.314415386129468	0.482855141933929
Genus.Morganella	treatment.group	B	-0.00346856996416237	0.00321396679804268	10	2	0.311950979438174	0.482855141933929
Genus.Allochromatium	treatment.group	B	0.00467407447900189	0.00440100942183362	10	2	0.319220899389653	0.482855141933929
Family.C111	treatment.group	B	0.00476519929942461	0.00443308820407641	10	2	0.313759668897862	0.482855141933929
Genus.Rickettsia	treatment.group	B	-0.0169558774191079	0.0161694618368073	10	4	0.324989985307014	0.483456176489773
Genus.Ralstonia	treatment.group	B	-0.0112527233488986	0.0107020642301205	10	5	0.323771114022465	0.483456176489773
Order.DS.100	treatment.group	B	0.00414418536245655	0.0040105397889253	10	2	0.331676186583204	0.489358308073579
Family.Hyphomonadaceae	treatment.group	B	0.00366325083933042	0.0036151758981235	10	2	0.340580223250514	0.49841008280563
Order.DRC31	treatment.group	B	0.00634292915846139	0.0063096179702175	10	3	0.34419657183769	0.499640184925679
Order.mle1.48	treatment.group	B	0.00350202055674622	0.00352014899914414	10	2	0.348943861924558	0.502479161171364
Genus.Parabacteroides	treatment.group	B	0.00396540721464008	0.0040833813934516	10	6	0.359935629627131	0.514193756610187
Genus.Bacillus	treatment.group	B	0.00602094163059727	0.00640744310517341	10	10	0.374883786779608	0.515856098424482
Genus.Oribacterium	treatment.group	B	0.0025880457655701	0.00275748933104677	10	6	0.375428604964484	0.515856098424482
Family.Chitinophagaceae	treatment.group	B	0.00405663643100154	0.00430190529412543	10	2	0.373289742995221	0.515856098424482
Order.iii1.15	treatment.group	B	0.00353251706335225	0.00373670287603728	10	2	0.372150003597491	0.515856098424482
Class.Anaerolineae	treatment.group	B	0.00498393199475926	0.00526109707929821	10	3	0.371209031041123	0.515856098424482
Order.CCU21	treatment.group	B	0.00413765614094761	0.00446422002895885	10	2	0.3811166199487	0.519704481748227
Class.Betaproteobacteria	treatment.group	B	0.00451365819826817	0.00503974404712162	10	2	0.396607130514686	0.536761530019876
Genus.Shigella	treatment.group	B	0.00428223319321226	0.00545289832573324	10	2	0.454896266150081	0.606528354866774
Genus.Proteus	treatment.group	B	-0.00260978949535262	0.00332004383119475	10	4	0.45447693665425	0.606528354866774
Genus.Photobacterium	treatment.group	B	-0.002049968105805	0.00267360683584579	10	4	0.46525691986359	0.607843389420773
Genus.Phycicoccus	treatment.group	B	0.00227389177891326	0.00297086304415141	10	2	0.466013265222593	0.607843389420773
Genus.Opitutus	treatment.group	B	0.00165299766535555	0.00215335730490678	10	2	0.464754080559762	0.607843389420773
Family.PRR.10	treatment.group	B	0.0020706402531182	0.00273536374947139	10	2	0.47076090624521	0.609618439741998
Genus.Shinella	treatment.group	B	-0.00246956183506136	0.0033506845091545	10	5	0.482156035039227	0.619914902193292
Genus.Lysobacter	treatment.group	B	-0.00160487425551827	0.00238543394914102	10	4	0.520043044131778	0.663884737189503
Genus.Serratia	treatment.group	B	-0.00171494567462049	0.00263532406215788	10	10	0.533446235398102	0.671148425736491
Family.Aeromonadaceae	treatment.group	B	-0.00330511402741486	0.00505520046487477	10	5	0.531577068482973	0.671148425736491
Genus.Streptomyces	treatment.group	B	0.0027042272502488	0.0041919418402339	10	4	0.536918740589193	0.671148425736491
Genus.Caloramator	treatment.group	B	0.000915720170383784	0.00144235299094707	10	2	0.543233468891342	0.674358788968562
Genus.Bifidobacterium	treatment.group	B	0.00479801838167848	0.00822173538472258	10	7	0.575583990222842	0.700034582703457
Genus.Sphingomonas	treatment.group	B	-0.00381240200173768	0.00651009505565467	10	7	0.574279188245535	0.700034582703457
Order.Actinomycetales	treatment.group	B	0.00181537665291553	0.0030731060977522	10	9	0.57100858697851	0.700034582703457
Genus.Rhodococcus	treatment.group	B	-0.0041588755495073	0.0074209777006958	10	3	0.590536723737924	0.704677320679173
Genus.Clostridium	treatment.group	B	0.00226151089747173	0.0040421298376561	10	6	0.59114597456975	0.704677320679173
Genus.Dokdonella	treatment.group	B	0.00285336798688876	0.00502709060558524	10	4	0.585879511253017	0.704677320679173
Family.Piscirickettsiaceae	treatment.group	B	0.000717058069793656	0.00130272456371438	10	2	0.597054617704103	0.707038363070649
Genus.Phyllobacterium	treatment.group	B	-0.00327593538493109	0.00642524944489476	10	5	0.623918813011383	0.720026455326578
Phylum.Bacteroidetes	treatment.group	B	-0.00128301298562856	0.00247809689621572	10	3	0.618647589153645	0.720026455326578
Class.Gemm.1	treatment.group	B	0.0017723630813502	0.00345349693577413	10	3	0.621674034310012	0.720026455326578
Order.CL500.15	treatment.group	B	0.00105675268056061	0.00207329191884657	10	3	0.624022927949701	0.720026455326578
Genus.Lachnospira	treatment.group	B	-0.00423587864506965	0.00864456117532348	10	3	0.637284816349154	0.726020676853467
Genus.Moryella	treatment.group	B	0.000610989105755642	0.00124614502088048	10	2	0.637082859348385	0.726020676853467
Genus.Turicibacter	treatment.group	B	0.00188628491150269	0.00390055684828537	10	2	0.641632912601732	0.72637688219064
Order.Solirubrobacterales	treatment.group	B	0.000696047450381382	0.00151719789996891	10	2	0.658605006407935	0.740930632208926
Family.Nocardioidaceae	treatment.group	B	-0.00399104121292064	0.00918026968100722	10	4	0.675239050870908	0.754925646936419
Genus.Lactococcus	treatment.group	B	-0.000822842086314635	0.00202558015167076	10	3	0.695226359128128	0.772473732364587
Genus.Gemmiger	treatment.group	B	-0.00488210449566612	0.0132831251133253	10	5	0.722748233317317	0.777552006898692
Genus.Corynebacterium	treatment.group	B	-0.00337750019544759	0.00929394175029995	10	6	0.725715206438779	0.777552006898692
Genus.Weissella	treatment.group	B	-0.00132472145528883	0.00348279693813135	10	2	0.713577462553278	0.777552006898692
Genus.Propionibacterium	treatment.group	B	-0.000735407619200567	0.00196634429734339	10	3	0.718124035124442	0.777552006898692
Family.Desulfovibrionaceae	treatment.group	B	0.000714821741426464	0.00184948349374719	10	2	0.709204808890704	0.777552006898692
Genus.Parvimonas	treatment.group	B	0.000553696226075348	0.00143259972323449	10	2	0.709205184432072	0.777552006898692
Genus.Buchnera	treatment.group	B	-0.000505739987809518	0.00146194265349791	10	3	0.738311588231969	0.786367372081387
Genus.Blautia	treatment.group	B	0.00212822921214283	0.0069717578461692	10	6	0.76795634528582	0.813130247949692
Genus.Rhizobium	treatment.group	B	0.000750688082329296	0.00266493145773886	10	2	0.785329574689484	0.826662710199457
Genus.Faecalibacterium	treatment.group	B	0.00107325181603552	0.0045324513590266	10	8	0.8187682411758	0.851897591974821
Genus.Abiotrophia	treatment.group	B	0.000618812225899632	0.00259473035844197	10	2	0.817497972994	0.851897591974821
Genus.Neisseria	treatment.group	B	-0.000550139680020412	0.0026122605141061	10	9	0.838465277185213	0.862421427961934
Family.Xanthomonadaceae	treatment.group	B	-0.000785460795188733	0.00368631958938198	10	5	0.836598368525723	0.862421427961934
Genus.Actinomyces	treatment.group	B	0.000659156306819147	0.00336442995834872	10	3	0.84955845564109	0.868866602360205
Family.Oxalobacteraceae	treatment.group	B	-0.000524076167850623	0.0028488163606684	10	2	0.858620093726105	0.869680846114068
Genus.Panacagrimonas	treatment.group	B	0.000228749108012724	0.0012560258556919	10	2	0.860017725601689	0.869680846114068
Genus.Collinsella	treatment.group	B	-0.000140883841192456	0.00496306753562583	10	5	0.97804929578661	0.983513258332904
Genus.Ignatzschineria	treatment.group	B	-1.2675909637305e-05	0.00162105653729984	10	2	0.993952455652019	0.993952455652019
